Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,baseline,0.24324798583984375,0.5209214933420472,0.33163612912620855,0.33163612912620855,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,clahe,0.2423455563583815,0.526084470223021,0.33183043144448626,0.33183043144448626,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,deconv,0.24324798583984375,0.5209214933420472,0.33163612912620855,0.33163612912620855,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,baseline,0.07900238037109375,0.9871306005719733,0.14629632245941707,0.14629632245941707,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,clahe,0.07900238037109375,0.9871306005719733,0.14629632245941707,0.14629632245941707,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,deconv,0.07900238037109375,0.9871306005719733,0.14629632245941707,0.14629632245941707,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,baseline,0.16696929931640625,0.5537702429149798,0.25657709622960045,0.25657709622960045,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,clahe,0.16658387524084778,0.5600455465587044,0.2567871728234639,0.2567871728234639,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,deconv,0.16696929931640625,0.5537702429149798,0.25657709622960045,0.25657709622960045,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,baseline,0.15155792236328125,0.5845225834927174,0.2407047262460847,0.2407047262460847,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,clahe,0.15155792236328125,0.5845225834927174,0.2407047262460847,0.2407047262460847,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,deconv,0.15155792236328125,0.5845225834927174,0.2407047262460847,0.2407047262460847,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,baseline,0.02181243896484375,0.6220626631853786,0.04214700592623168,0.04214700592623168,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,clahe,0.02181243896484375,0.6220626631853786,0.04214700592623168,0.04214700592623168,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,deconv,0.02181243896484375,0.6220626631853786,0.04214700592623168,0.04214700592623168,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,baseline,0.049072265625,0.5003500583430571,0.08937864334002654,0.08937864334002654,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,clahe,0.04993075626204239,0.5160637884091793,0.0910519561622026,0.0910519561622026,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,deconv,0.049072265625,0.5003500583430571,0.08937864334002654,0.08937864334002654,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,baseline,0.04062652587890625,0.580824607329843,0.07594124358243012,0.07594124358243012,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,clahe,0.04007857658959538,0.580824607329843,0.07498310239945928,0.07498310239945928,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,deconv,0.04062652587890625,0.580824607329843,0.07594124358243012,0.07594124358243012,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,baseline,0.0654296875,0.3322356951923449,0.1093284890206202,0.1093284890206202,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,clahe,0.06464505057803469,0.3327393173982102,0.10825765548882321,0.10825765548882321,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,deconv,0.06464505057803469,0.3327393173982102,0.10825765548882321,0.10825765548882321,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,baseline,0.07501983642578125,0.5683158016414287,0.1325434375294863,0.1325434375294863,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,clahe,0.07489613439306358,0.5751358224482719,0.13253332978170823,0.13253332978170823,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,deconv,0.07501983642578125,0.5683158016414287,0.1325434375294863,0.1325434375294863,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,baseline,0.18418121337890625,0.48801245249454195,0.26743104021269526,0.26743104021269526,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,clahe,0.18568611512524086,0.49872644942184846,0.2706162385099708,0.2706162385099708,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,deconv,0.18418121337890625,0.48801245249454195,0.26743104021269526,0.26743104021269526,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,baseline,0.0785980224609375,0.2705001969279244,0.12180400456380759,0.12180400456380759,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,clahe,0.08003672928709056,0.2792175397137981,0.12441137415252503,0.12441137415252503,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,deconv,0.0785980224609375,0.2705001969279244,0.12180400456380759,0.12180400456380759,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,baseline,0.04886952071290944,0.6569867449155115,0.09097213951956959,0.09097213951956959,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,clahe,0.04886952071290944,0.6569867449155115,0.09097213951956959,0.09097213951956959,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,deconv,0.04886952071290944,0.6569867449155115,0.09097213951956959,0.09097213951956959,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,baseline,0.0703582763671875,0.5615295621993546,0.12504830672226178,0.12504830672226178,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,clahe,0.07069635115606937,0.571941788954515,0.12583815067621426,0.12583815067621426,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,deconv,0.07069635115606937,0.571941788954515,0.12583815067621426,0.12583815067621426,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,baseline,0.156219482421875,0.47526866745584107,0.23514685194223536,0.23514685194223536,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,clahe,0.156882225433526,0.48381031961562565,0.2369349861037699,0.2369349861037699,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,deconv,0.156219482421875,0.47526866745584107,0.23514685194223536,0.23514685194223536,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,baseline,0.08670520231213873,0.5357641149660497,0.1492556651076014,0.1492556651076014,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,clahe,0.08670520231213873,0.5357641149660497,0.1492556651076014,0.1492556651076014,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,deconv,0.087890625,0.5357641149660497,0.1510086908647607,0.1510086908647607,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,baseline,0.0396575927734375,0.34975104292827347,0.0712376827881097,0.0712376827881097,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,clahe,0.0396575927734375,0.34975104292827347,0.0712376827881097,0.0712376827881097,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,deconv,0.0396575927734375,0.34975104292827347,0.0712376827881097,0.0712376827881097,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,baseline,0.06325531005859375,0.5089313117672335,0.1125248535928286,0.1125248535928286,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,clahe,0.062816112716763,0.5123074089988338,0.11191042874861722,0.11191042874861722,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,deconv,0.06325531005859375,0.5089313117672335,0.1125248535928286,0.1125248535928286,0.0
X97466X7-x12184_y11681_w512_h512-img.tif,HoVer-Net,baseline,0.33617401123046875,0.5049795431885121,0.40363854549784955,0.40363854549784955,0.0
