sigma,alpha,Mean_Dice,Mean_PQ
0.5,0.5,0.6609329973628918,0.5825373966048033
0.5,0.75,0.6609329973628918,0.5825373966048033
0.5,1.0,0.6609329973628918,0.5825373966048033
0.5,1.25,0.6609329973628918,0.5825373966048033
0.5,1.5,0.6609329973628918,0.5825373966048033
0.5,1.75,0.6609329973628918,0.5825373966048033
0.5,2.0,0.6609329973628918,0.5825373966048033
0.5,2.5,0.6609329973628918,0.5825373966048033
0.5,3.0,0.6609329973628918,0.5825373966048033
0.8,0.5,0.6609329973628918,0.5825373966048033
0.8,0.75,0.6609329973628918,0.5825373966048033
0.8,1.0,0.6609329973628918,0.5825373966048033
0.8,1.25,0.6609329973628918,0.5825373966048033
0.8,1.5,0.6609329973628918,0.5825373966048033
0.8,1.75,0.6609329973628918,0.5825373966048033
0.8,2.0,0.6609329973628918,0.5825373966048033
0.8,2.5,0.6609329973628918,0.5825373966048033
0.8,3.0,0.6609329973628918,0.5825373966048033
1.0,0.5,0.6609329973628918,0.5825373966048033
1.0,0.75,0.6609329973628918,0.5825373966048033
1.0,1.0,0.6609329973628918,0.5825373966048033
1.0,1.25,0.6609329973628918,0.5825373966048033
1.0,1.5,0.6609329973628918,0.5825373966048033
1.0,1.75,0.6609329973628918,0.5825373966048033
1.0,2.0,0.6609329973628918,0.5825373966048033
1.0,2.5,0.6609329973628918,0.5825373966048033
1.0,3.0,0.6609329973628918,0.5825373966048033
1.2,0.5,0.6609329973628918,0.5825373966048033
1.2,0.75,0.6609329973628918,0.5825373966048033
1.2,1.0,0.6609329973628918,0.5825373966048033
1.2,1.25,0.6609329973628918,0.5825373966048033
1.2,1.5,0.6609329973628918,0.5825373966048033
1.2,1.75,0.6609329973628918,0.5825373966048033
1.2,2.0,0.6609329973628918,0.5825373966048033
1.2,2.5,0.6609329973628918,0.5825373966048033
1.2,3.0,0.6609329973628918,0.5825373966048033
1.5,0.5,0.6609329973628918,0.5825373966048033
1.5,0.75,0.6609329973628918,0.5825373966048033
1.5,1.0,0.6609329973628918,0.5825373966048033
1.5,1.25,0.6609329973628918,0.5825373966048033
1.5,1.5,0.6609329973628918,0.5825373966048033
1.5,1.75,0.6609329973628918,0.5825373966048033
1.5,2.0,0.6609329973628918,0.5825373966048033
1.5,2.5,0.6609329973628918,0.5825373966048033
1.5,3.0,0.6609329973628918,0.5825373966048033
2.0,0.5,0.6609329973628918,0.5825373966048033
2.0,0.75,0.6609329973628918,0.5825373966048033
2.0,1.0,0.6609329973628918,0.5825373966048033
2.0,1.25,0.6609329973628918,0.5825373966048033
2.0,1.5,0.6609329973628918,0.5825373966048033
2.0,1.75,0.6609329973628918,0.5825373966048033
2.0,2.0,0.6609329973628918,0.5825373966048033
2.0,2.5,0.6609329973628918,0.5825373966048033
2.0,3.0,0.6609329973628918,0.5825373966048033
2.5,0.5,0.6609329973628918,0.5825373966048033
2.5,0.75,0.6609329973628918,0.5825373966048033
2.5,1.0,0.6609329973628918,0.5825373966048033
2.5,1.25,0.6609329973628918,0.5825373966048033
2.5,1.5,0.6609329973628918,0.5825373966048033
2.5,1.75,0.6609329973628918,0.5825373966048033
2.5,2.0,0.6609329973628918,0.5825373966048033
2.5,2.5,0.6609329973628918,0.5825373966048033
2.5,3.0,0.6609329973628918,0.5825373966048033
3.0,0.5,0.6609329973628918,0.5825373966048033
3.0,0.75,0.6609329973628918,0.5825373966048033
3.0,1.0,0.6609329973628918,0.5825373966048033
3.0,1.25,0.6609329973628918,0.5825373966048033
3.0,1.5,0.6609329973628918,0.5825373966048033
3.0,1.75,0.6609329973628918,0.5825373966048033
3.0,2.0,0.6609329973628918,0.5825373966048033
3.0,2.5,0.6609329973628918,0.5825373966048033
3.0,3.0,0.6609329973628918,0.5825373966048033
4.0,0.5,0.6609329973628918,0.5825373966048033
4.0,0.75,0.6609329973628918,0.5825373966048033
4.0,1.0,0.6609329973628918,0.5825373966048033
4.0,1.25,0.6609329973628918,0.5825373966048033
4.0,1.5,0.6609329973628918,0.5825373966048033
4.0,1.75,0.6609329973628918,0.5825373966048033
4.0,2.0,0.6609329973628918,0.5825373966048033
4.0,2.5,0.6609329973628918,0.5825373966048033
4.0,3.0,0.6609329973628918,0.5825373966048033
5.0,0.5,0.6609329973628918,0.5825373966048033
5.0,0.75,0.6609329973628918,0.5825373966048033
5.0,1.0,0.6609329973628918,0.5825373966048033
5.0,1.25,0.6609329973628918,0.5825373966048033
5.0,1.5,0.6609329973628918,0.5825373966048033
5.0,1.75,0.6609329973628918,0.5825373966048033
5.0,2.0,0.6609329973628918,0.5825373966048033
5.0,2.5,0.6609329973628918,0.5825373966048033
5.0,3.0,0.6609329973628918,0.5825373966048033
