clip,grid,Mean_Dice,Mean_PQ
0.5,"(4, 4)",0.09524247600532335,0.026414835866969088
0.5,"(8, 8)",0.09427790880384397,0.026232420986255327
0.5,"(12, 12)",0.09664532367916444,0.02638850587881571
0.5,"(16, 16)",0.09475934968753344,0.026186070643562383
0.5,"(24, 24)",0.09302575855271569,0.026270405644849216
0.5,"(32, 32)",0.08537285105347645,0.024387092352358655
1.0,"(4, 4)",0.08644900216997667,0.02609611928103478
1.0,"(8, 8)",0.08590142234181915,0.025965134434060694
1.0,"(12, 12)",0.08608573426710632,0.025897975494821385
1.0,"(16, 16)",0.0853344449441222,0.02578283060709265
1.0,"(24, 24)",0.09302575855271569,0.026270405644849216
1.0,"(32, 32)",0.08537285105347645,0.024387092352358655
1.5,"(4, 4)",0.08100862846301979,0.025830439170551656
1.5,"(8, 8)",0.08058929472729864,0.025694836858818022
1.5,"(12, 12)",0.08178737021548375,0.025647132576470826
1.5,"(16, 16)",0.08047295203778995,0.0253519372546278
1.5,"(24, 24)",0.0841507935053537,0.02519853490659471
1.5,"(32, 32)",0.08537285105347645,0.024387092352358655
2.0,"(4, 4)",0.07776872626662971,0.025672761720731012
2.0,"(8, 8)",0.07728403485100871,0.025554822844839713
2.0,"(12, 12)",0.07736432805479618,0.025316848000675303
2.0,"(16, 16)",0.0771084847927881,0.025148093876650963
2.0,"(24, 24)",0.07842349150278066,0.02461846381330923
2.0,"(32, 32)",0.08408773051207823,0.026276079706127758
2.5,"(4, 4)",0.07598926116275875,0.025649189216990904
2.5,"(8, 8)",0.0750752299735457,0.025339189735408652
2.5,"(12, 12)",0.07480382026443275,0.025128728104218612
2.5,"(16, 16)",0.07472384340162494,0.02485648730696059
2.5,"(24, 24)",0.07556731312001755,0.02415192189001542
2.5,"(32, 32)",0.08408773051207823,0.026276079706127758
3.0,"(4, 4)",0.07482249645871208,0.02556293659742806
3.0,"(8, 8)",0.07358307545793244,0.025201252778602006
3.0,"(12, 12)",0.07342265875114179,0.024935576770398545
3.0,"(16, 16)",0.07316320214724027,0.024638138535635335
3.0,"(24, 24)",0.0746251767129919,0.024071918560611392
3.0,"(32, 32)",0.07615285770765126,0.02466055160411101
4.0,"(4, 4)",0.07374069087391462,0.025479976385715242
4.0,"(8, 8)",0.07204348265228094,0.025028121667083365
4.0,"(12, 12)",0.07140393194878172,0.024710470914724548
4.0,"(16, 16)",0.07099851155987008,0.024290152149738387
4.0,"(24, 24)",0.0729500388741853,0.02418542530855768
4.0,"(32, 32)",0.07260773106726612,0.024193785318267817
5.0,"(4, 4)",0.07334716613101654,0.02544617816600992
5.0,"(8, 8)",0.07141939138103869,0.024973056180159665
5.0,"(12, 12)",0.07063143737160653,0.02465523578589748
5.0,"(16, 16)",0.07050833630582842,0.024248741949941408
5.0,"(24, 24)",0.07206173825593497,0.024089322943138477
5.0,"(32, 32)",0.07256465875948052,0.024279612514008488
7.5,"(4, 4)",0.0731458836933996,0.02543630264753615
7.5,"(8, 8)",0.07123805976577517,0.02495266423639106
7.5,"(12, 12)",0.07059237804102808,0.02465744880452829
7.5,"(16, 16)",0.07053617110387737,0.02426908934889168
7.5,"(24, 24)",0.07159425442441356,0.02403211281805181
7.5,"(32, 32)",0.07518360560430545,0.02468923792544285
10.0,"(4, 4)",0.07320036195161682,0.02543718224386123
10.0,"(8, 8)",0.07134970781249941,0.024955093283090982
10.0,"(12, 12)",0.07084940058691873,0.02465703601141902
10.0,"(16, 16)",0.07114011071337692,0.024325018329021522
10.0,"(24, 24)",0.07283193950071436,0.024174182357008054
10.0,"(32, 32)",0.08062009289385025,0.02564643029689087
