sigma,alpha,Mean_Dice,Mean_PQ
0.5,0.5,0.6476004978325322,0.5501694983473483
0.5,0.75,0.6639519297957893,0.5657574398097831
0.5,1.0,0.6724663874851361,0.5741515510744163
0.5,1.25,0.6822604204775875,0.5836719741361799
0.5,1.5,0.6996836961880739,0.6007229185923533
0.5,1.75,0.7095585635371371,0.6101926841953642
0.5,2.0,0.7146485660039666,0.6152601615647602
0.5,2.5,0.7356134594410974,0.635931398750459
0.5,3.0,0.7427066694264497,0.642837938786435
0.8,0.5,0.6127504924884496,0.5170376435384727
0.8,0.75,0.6482913706841782,0.5507253158694234
0.8,1.0,0.6724663874851361,0.5741515510744163
0.8,1.25,0.6959677746885182,0.5969970292941148
0.8,1.5,0.7176079736174161,0.6182235841605407
0.8,1.75,0.7326995439417968,0.6328887202625395
0.8,2.0,0.7408024837693128,0.640938884919491
0.8,2.5,0.760768175318693,0.6607190938803169
0.8,3.0,0.7685274067112461,0.668363482011247
1.0,0.5,0.604740660309561,0.509381643483381
1.0,0.75,0.6443094230650431,0.5469255034815241
1.0,1.0,0.6724663874851361,0.5741515510744163
1.0,1.25,0.6979107599962089,0.5988307328522817
1.0,1.5,0.7189521640628571,0.6195892416637782
1.0,1.75,0.7333930953913748,0.6335844862338205
1.0,2.0,0.7414665624406755,0.641582535083674
1.0,2.5,0.7575610588078607,0.6575381914611114
1.0,3.0,0.765118447700963,0.6649038734529231
1.2,0.5,0.6029792577060151,0.5077184614755239
1.2,0.75,0.6437678880788141,0.5463497472862505
1.2,1.0,0.6724663874851361,0.5741515510744163
1.2,1.25,0.6978212874459461,0.5987295487084393
1.2,1.5,0.7176738051012413,0.6182933216632053
1.2,1.75,0.7309592338770807,0.6311505605678601
1.2,2.0,0.7379864147212103,0.6381013147699034
1.2,2.5,0.752171272024932,0.6522532598907987
1.2,3.0,0.7591258800111834,0.6589276990662135
1.5,0.5,0.6053512599021997,0.5099867845221012
1.5,0.75,0.6453658955809931,0.5479331927994869
1.5,1.0,0.6724663874851361,0.5741515510744163
1.5,1.25,0.6955297079910581,0.5964268229898191
1.5,1.5,0.7131073797023113,0.6137939608406041
1.5,1.75,0.724323666461263,0.6246039282994534
1.5,2.0,0.7310043304458699,0.6311613983838097
1.5,2.5,0.7434502565683252,0.6437533511929618
1.5,3.0,0.750332121065048,0.650252386524816
2.0,0.5,0.6196760699083688,0.5235353352072865
2.0,0.75,0.6520897699031368,0.5544701042690947
2.0,1.0,0.6724663874851361,0.5741515510744163
2.0,1.25,0.6898005276569197,0.5907760579946023
2.0,1.5,0.7012678612909455,0.6021124182014018
2.0,1.75,0.710402377663937,0.6108235834119687
2.0,2.0,0.7158672950766365,0.6160879693028192
2.0,2.5,0.7270550327829446,0.6277741020260634
2.0,3.0,0.732327466505014,0.6324834397810559
2.5,0.5,0.6376781879423984,0.5408179420850676
2.5,0.75,0.6592222681117657,0.5613709567467178
2.5,1.0,0.6724663874851361,0.5741515510744163
2.5,1.25,0.6841147289743658,0.5851508243468168
2.5,1.5,0.6905376138605825,0.5915434848057245
2.5,1.75,0.6963841561733296,0.5969290848167628
2.5,2.0,0.6992315754192219,0.5995916306590161
2.5,2.5,0.70651639022295,0.6075164511065521
2.5,3.0,0.7126767212151023,0.6132523120862736
3.0,0.5,0.6549508581169038,0.557564418437374
3.0,0.75,0.6667826619847345,0.5687553970534859
3.0,1.0,0.6724663874851361,0.5741515510744163
3.0,1.25,0.6784952528325527,0.5796188700903655
3.0,1.5,0.6810566318736658,0.5822652975018009
3.0,1.75,0.6836017545765458,0.5842152662586673
3.0,2.0,0.6828279368764604,0.5834174809836925
3.0,2.5,0.6849097027119002,0.5861011280784791
3.0,3.0,0.6933384152484257,0.5941910753450061
4.0,0.5,0.6823162704134735,0.5843002373258062
4.0,0.75,0.6779599258905114,0.5799048888120409
4.0,1.0,0.6724663874851361,0.5741515510744163
4.0,1.25,0.6709869580761578,0.5721116962185628
4.0,1.5,0.6666696870148033,0.5679797529052945
4.0,1.75,0.6627133371500118,0.5635776989387764
4.0,2.0,0.6555758712089451,0.5565028769430219
4.0,2.5,0.651941142987216,0.5531981782912545
4.0,3.0,0.6638279395142159,0.5648246923474701
5.0,0.5,0.6974087717742294,0.5994451099701069
5.0,0.75,0.6837136469234418,0.5857011566665528
5.0,1.0,0.6724663874851361,0.5741515510744163
5.0,1.25,0.6659530342419406,0.5670775747830603
5.0,1.5,0.6577592023006508,0.5590642387143799
5.0,1.75,0.6492183473135978,0.5502918120512075
5.0,2.0,0.6386562475721769,0.5398343042001497
5.0,2.5,0.6323508428347075,0.5334966599421544
5.0,3.0,0.6401968689787778,0.5413204188838403
